URL;Error;Colección;Código EAN;Alto con embalaje;Ancho con embalaje;Ancho de producto;Espesor de producto;Fondo con embalaje;Longitud del producto;Peso del producto;Acabado;Antiestático;Apto para sistemas de calefacción por suelo radiante;Borde biselado;Certificado de aprobación de la madera;Resistencia a desgaste;Cobertura por paquete (m2);Consejos de uso;Efecto;Material;Nivel de tránsito;Resistente al agua;Unidades del pack;Nota adicional;Declaración de prestaciones (DoP);Vendido por;Marca;Garantía;Normas;Clases de utilización;Restricciones de uso;Sistema de encaje;Manual Instrucciones;Modelo;Interior/Exterior/Ambos;Resistente a las manchas;Resistente a los rayos ultravioleta;Tipo de fijación;Forma producto;Modo instalación;Aislante incorporado;Material Suelo;Capa de uso;Clasificación Euroclass de reacción al fuego;Clasificación PEI;Resistencia al resbalamiento
https://www.bricodepot.es/suelo-laminado-blanco-doncaster-ac4-8-mm-5059340194080?queryID=3ac45a1969c6a46e49cedeb8a8e1578e&objectID=134443&indexName=pro_ES_products;;Doncaster;5059340194080;6.2;20.5 cm;19.2 cm;8 mm;129.5;1.285 cm;13.75;Rugoso;No;Sí;Sí;Sí;AC4;1.973;Evite los productos químicos agresivos.;Madera;HDF (Tableros de fibra de alta densidad);Tránsito medio;Sí;8;Suelo laminado perfecto para espacios como el baño o la cocina.;DOP_5059340194080;Brico Depôt;Cooke & Lewis;3 años;;;;;;;;;;;;;;;;;;
https://www.bricodepot.es/suelo-laminado-ac4-roble-8-mm-feiticeira-c-l-5059340391441?queryID=cfeaf70ee1bfe97f1eee6a35c581e2dc&objectID=244480&indexName=pro_ES_products;;Feiticeira;5059340391441;5.6;29.2 cm;28 cm;8 mm;130.4;128.5 cm;18;Mate;Sí;Sí;Sí;Sí;AC4;2.518;;Madera;Tablero de fibras de alta densidad (HDF);Moderado;Sí;7;Mida su suelo, luego consulte la tabla para ver cuántos paquetes necesitará. La tabla permite aproximadamente un 10 % de desperdicio.;;Brico Depôt;Cooke & Lewis;20 años;"EN 13329; PEFC/04-31-0820";Clase 32;;Megaloc;;;;;;;;;;;;;;
https://www.bricodepot.es/suelo-laminado-ac5-roble-gris-8-mm-maracas-cooke-lewis-5063022047823?queryID=98bd3412a3b57eab39dde8b9a104f1ca&objectID=244509&indexName=pro_ES_products;;Maracas;5063022047823;7.4;20.1 cm;19.3 cm;8 mm;139.1;138.3 cm;15.84;Mate;No;Sí;No;Sí;AC5;2.402;;Madera;Tablero de fibras de alta densidad (HDF);Moderado;No;9;Mida su suelo, luego consulte la tabla para ver cuántos paquetes necesitará. La tabla permite aproximadamente un 10 % de desperdicio.;DOP_ES_PT_5063022047823;Brico Depôt;Cooke & Lewis;20 años;"EN 13329; SGSCH-PEFC-COC-110005.";Clase 32;Zonas húmedas;Kaindl_loc;;;;;;;;;;;;;;
https://www.bricodepot.es/suelo-laminado-ledbury-ac5-8-mm-5059340194042?queryID=e217656f91a16cbc0acfed96d2a293d1&objectID=134440&indexName=pro_ES_products;;Ledbury;5059340194042;4.7;29.5 cm;28 cm;8 mm;129.6;1.285 cm;15;Rugoso;No;Sí;Sí;Sí;AC5;2.158;zonas de paso como pasillos, dormitorios, salas de estar y estudios.;Madera;HDF;Tránsito alto;No;6;Adecuado para instalar con suelos radiantes.;DOP_5059340194042;Brico Depôt;Cooke & Lewis;20 años;;;Zonas húmedas;;;;;;;;;;;;;;;
https://www.bricodepot.es/suelo-laminado-elicia-ac5-roble-natural-138x3x193-cm-cooke-lewis-5063022085641?queryID=cf4de8bf1fa2430e410bcde384a129a5&objectID=260838&indexName=pro_ES_products;;Elicia;5063022085641;7.4;20.1 cm;19.3 cm;8 mm;139.1;138.3 cm;16.56;Mate;No;Sí;No;No;AC5;2.402;perfecto para salones, dormitorios y pasillos.;Madera;HDF;Moderado;No;9;;DOP_ES_PT_5063022085641;Brico Depôt;Cooke & Lewis;20 años;EN 14041;Clase 23/32;Zonas húmedas;Clic;;;;;;;;;;;;;;
https://www.bricodepot.es/suelo-laminado-santa-fe-gris-ac5-138-3x19-3-cm-5063022047830?queryID=68757f4874da00fb6e8530bed2597e17&objectID=187352&indexName=pro_ES_products;;Santa Fe;5063022047830;7.2;20.1 cm;19.3 cm;0.7 cm;139.1;138.3 cm;15.19;;No;No;No;Sí;AC5;2.669;;Madera;;;No;;;DOP_ES_PT_5063022047830;Brico Depôt;Paintman;20 años;;Clase 32;;;;;;;;;;;;;;;;
https://www.bricodepot.es/suelo-laminado-peixoto-ac3-6-mm-3663602997436?queryID=d62025c1b9e9168eb5ad1ac73829c123&objectID=134426&indexName=pro_ES_products;;Peixoto;3663602997436;6.5;20.2 cm;19.4 cm;6 mm;129.8;129 cm;14.955;;No;Sí;No;Sí;AC3;3.003;Instala una base debajo antes de instalar suelos laminados;Madera;HDF (Tableros de fibra de alta densidad);Tránsito ligero;No;12;;DOP_3663602997436;Brico Depôt;Colours;3 años;;Clase 31;Zonas húmedas;Encaje por 2 lados;;44602;;;;;;;;;;;;
https://www.bricodepot.es/suelo-laminado-albisola-ac5-7mm-roble-1383x193cm-5063022047847?queryID=f86c00e57feb19016583b95e2fb89c83&objectID=187353&indexName=pro_ES_products;;Albisola;5063022047847;7.2;20.1 cm;19.3 cm;0.7 cm;139.1;138.3 cm;15.19;;No;No;No;Sí;AC5;2.669;;Madera;;Alto;No;10;;DOP_ES_PT_5063022047847;Brico Depôt;Paintman;20 años;;Clase 32;;Clic;;;;;;;;;;;;;;
https://www.bricodepot.es/suelo-laminado-ac4-roble-8-mm-feiticeira-c-l-5059340391441?queryID=5ff2fcd20535110ec80d56027325702d&objectID=244480&indexName=pro_ES_products;;Feiticeira;5059340391441;5.6;29.2 cm;28 cm;8 mm;130.4;128.5 cm;18;Mate;Sí;Sí;Sí;Sí;AC4;2.518;;Madera;Tablero de fibras de alta densidad (HDF);Moderado;Sí;7;Mida su suelo, luego consulte la tabla para ver cuántos paquetes necesitará. La tabla permite aproximadamente un 10 % de desperdicio.;;Brico Depôt;Cooke & Lewis;20 años;"EN 13329; PEFC/04-31-0820";Clase 32;;Megaloc;;;;;;;;;;;;;;
https://www.bricodepot.es/adivina-spc-click-5mm-roble-natural-5063022611239?queryID=686f70a6035dd5d97c42ca107eb1b041&objectID=409351&indexName=pro_ES_products;;Adina;5063022611239;5;24.1 cm;22.8 cm;5 mm;124.2;122 cm;21.37;;;Sí;;;;2.5;;Madera;;;Sí;;;;Brico Depôt;;15 años;;;;;;;Interior;Sí;No;Click;Lama;Click;Aislante incorporado;SPC;;;;
https://www.bricodepot.es/suelo-vinilico-folk-natural-122x15-cm-5059340221700?queryID=3ce4a0ac6358b13112cd64979e0a0ad1&objectID=138104&indexName=pro_ES_products;;Folk;5059340221700;5.6;16.1 cm;15 cm;3.2 mm;94.8;93.5 cm;15;;;Sí;;;;2.2;;Rugoso;PVC;Tráfico moderado-intenso;Sí;16;<p>Recomendamos la instalación con un aislante específico de 1mm<br></p>;;Brico Depôt;;10;;Clase 23/31;;;IM_5059340221700;;Interior;Sí;No;Click;Lama;Click;Sin aislante;SPC;0.15;Bfl-S1;Clase 23/31;Clase DS
https://www.bricodepot.es/harmonia-spc-click-5-5-mm-roble-nordico-5059340969626?queryID=a94d40c2a12f1a8a183ce247e6838576&objectID=371879&indexName=pro_ES_products;;Harmonia;5059340969626;6;19.3 cm;17.78 cm;5.5 mm;124.5;;20;;;Sí;;;;;;Madera;;Alto;Sí;;;;Brico Depôt;;3 años;;;;;;;;Sí;No;Click;Lama;Click;Aislante incorporado;SPC;;;;
https://www.bricodepot.es/suelo-vinilico-eliza-multicolor-122x15-cm-5059340357461?queryID=3ff35909a3e21a077825ee33ac64e798&objectID=138108&indexName=pro_ES_products;;Eliza;5059340357461;5.3;16.1 cm;15 cm;4 mm;123.3;122 cm;18.2;;;Sí;;;;2.23;;Rugoso;PVC;Tráfico moderado-intenso;Sí;12;<p>Recomendamos la instalación con un aislante específico de 1mm<br></p>;;Brico Depôt;Cooke & Lewis;3 años;;;;;IM_5059340357461;;Interior;Sí;No;Click;Lama;Click;Sin aislante;SPC;0.15;Bfl-S1;Clase 23/31;Clase DS
https://www.bricodepot.es/harmonia-spc-click-5-5-mm-roble-vintage-5059340969664?queryID=22e52551711695cc23b0f0f23e8da4c8&objectID=371886&indexName=pro_ES_products;;Harmonia;5059340969664;6;19.3 cm;17.78 cm;5.5 mm;124.5;;20;;;Sí;;;;;;Madera;;Alto;Sí;;;;Brico Depôt;;3 años;;;;;;;;Sí;No;Click;Lama;Click;Aislante incorporado;SPC;;;;
https://www.bricodepot.es/lama-vinilica-click-spc-roble-con-aislante-incorporado-harmonia-5059340969633?queryID=17603aef8ec638e7bb9a67ca1937178c&objectID=371882&indexName=pro_ES_products;;Harmonia;5059340969633;6;19.3 cm;17.78 cm;5.5 mm;124.5;;20;;;Sí;;;;;;Madera;;Alto;Sí;;;;Brico Depôt;;3 años;;;;;;;;Sí;No;Click;Lama;Click;Aislante incorporado;SPC;;;;
https://www.bricodepot.es/suelo-vinilico-eliza-gris-122x15-cm-5059340357454?queryID=5f0d1b8152069e6ea4dfba5316bccea1&objectID=138107&indexName=pro_ES_products;;Eliza;5059340357454;5.3;16.1 cm;15 cm;4 mm;123.3;122 cm;18.2;;;Sí;;;;2.23;;Rugoso;PVC;Tráfico moderado-intenso;Sí;12;<p>Recomendamos la instalación con un aislante específico de 1mm<br></p>;;Brico Depôt;Cooke & Lewis;15 años;;;;;IM_5059340357454;;Interior;Sí;No;Click;Lama;Click;Sin aislante;SPC;0.15;Bfl-S1;Clase 23/31;Clase DS
https://www.bricodepot.es/harmonia-spc-click-5-5-mm-roble-blanco-5059340969640?queryID=2451d8dc184241ae24988ec722b8a950&objectID=374438&indexName=pro_ES_products;;Harmonia;5059340969640;6;19.3 cm;17.78 cm;5.5 mm;124.5;;20;;;Sí;;;;;;Madera;;Alto;Sí;;;;Brico Depôt;;3 años;;;;;;;Interior;Sí;No;Click;Lama;Click;Aislante incorporado;SPC;;;;
https://www.bricodepot.es/harmonia-spc-click-5-5-mm-roble-gris-5059340969657?queryID=9cc9a8199025aa72f25edddbbac13038&objectID=371881&indexName=pro_ES_products;;Harmonia;5059340969657;6;19.3 cm;17.78 cm;5.5 mm;124.5;;20;;;Sí;;;;;;Madera;;Alto;Sí;;;;Brico Depôt;;3 años;;;;;;;;Sí;No;Click;Lama;Click;Aislante incorporado;SPC;;;;
