EAN;descrpcion_es;id_familia_producto;en_showroom;rack;modulo;fila;en_almacen;en_self;Ubicacion
5059340459837;RODAPIE COTTO TERRACOTA 7.5X30;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-204 (11)
5059340721064;RODAPIE DAMIAN 7.45X45 GRIS;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-302 (15)
5063022645296;RODAPIE CIMENTI GREY 8X60 1UND;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-303 (16)
8435609345634;RODAPIE CHELSEA GRIS 7.5X45 4 PZ;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-205 (12)
8435609347652;RODAPIE G. GOLDEN HILL 7.5X45X6UDS;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-206 (13)
5063022605108;RODAPIE NISIDA SLIM 8X60 6UND;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-203 (30)
8429991918248;RODAPIE SALINAS GOLD 8X60 4UND;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-301 (14)
8429991957162;RODAPIE ZICATELA BLANCO 8X60 4UND;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-304 (17)
5059340870724;RODAPIE LIMO 7.5X45 5UND;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-305 (18)
3663602678397;RODAPIE NATURAL ANTRACITA 8X60;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-306 (19)
5059340460246;RODAPIE BARSAN 10X60 GRIS (6u);;NO;#N/A;#N/A;#N/A;NO;SI;24-05-101 (1)
8435414127852;RODAPIE UCLES GRIS 8X45 5UDS;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-102 (2)
5059340460260;RODAPIE MADINE 8X45;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-203 (10)
8435609378526;RODAPIE CONCORDE NATURAL MATE 7.5X60-6 UDS;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-202 (9)
8429178842496;RODAPIE AMAGA BEIGE MATE 8X60 4PZ;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-201 (8)
8435414127869;RODAPIE UCLES NATURAL 8X45 5UDS;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-104 (4)
8435609373194;RODAPIE COLTON HAYA MATE 7,3X60 6PZ;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-304 (37)
8429178398481;RODAPIE CARTAGO HAYA 8X60 4 UND;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-106 (6)
8429178988972;RODAPIE CARTAGO MIEL 8X60 4 UND;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-105 (5)
8435609383827;RODAPIE SELVA CAOBA MATE 7,5X60-6UDS;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-206 (33)
3663602678311;RODAPIE NATURAL BLANCO 8X60;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-503 (49)
3663602679349;RODAPIE NORWEGIO GRIS 7,5X30;;NO;#N/A;#N/A;#N/A;NO;SI;24-05-103 (3)
8429991917562;RODAPIE ZARAUTZ GRIS 8X60 4UND;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-406 (46)
8429991917852;RODAPIE ZARAUTZ ROBLE 8X60 4UND;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-307 (40)
8429991917845;RODAPIE ZARAUTZ BLANCO 8X60 4UND;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-306 (39)
5059340192154;RODAPIE CLIZI GRIS 8X60 1UND;;NO;#N/A;#N/A;#N/A;NO;SI;36-05-305 (38)
8435414113497;RODAPIE MONACO 8X45 (5UDS);;NO;#N/A;#N/A;#N/A;NO;SI;36-05-303 (36)
5059340460253;RODAPIE FABRE 8X60 MARRON (6u);;NO;#N/A;#N/A;#N/A;NO;SI;36-05-302 (35)
